	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
3	104.16.123.96	Europe_countries_10	0.0	-1	0	0.4	0.6190476190476191	0.5306122448979592	0.5714285714285714	26	16	0	23
0	104.16.123.96	Europe_countries_10	0.1	-1	0	0.45901639344262296	0.7	0.5714285714285714	0.6292134831460674	28	12	0	21
25	104.16.123.96	Europe_countries_10	0.2	-1	0	0.4915254237288136	0.725	0.6041666666666666	0.6590909090909091	29	11	0	19
18	104.16.123.96	Europe_countries_10	0.3	-1	0	0.4745762711864407	0.7368421052631579	0.5714285714285714	0.6436781609195403	28	10	0	21
22	104.16.123.96	Europe_countries_10	0.4	-1	0	0.5	0.7631578947368421	0.5918367346938775	0.6666666666666667	29	9	0	20
13	104.16.123.96	Europe_countries_10	0.5	-1	0	0.5263157894736842	0.7894736842105263	0.6122448979591837	0.6896551724137931	30	8	0	19
7	104.16.123.96	Europe_countries_10	0.6	-1	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
26	104.16.123.96	Europe_countries_10	0.7	-1	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
14	104.16.123.96	Europe_countries_10	0.8	-1	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
32	104.16.123.96	Europe_countries_10	0.9	-1	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
17	104.16.123.96	Europe_countries_10	1.0	-1	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
19	104.16.123.96	Europe_countries_15	0.0	-1	0	0.39705882352941174	0.5869565217391305	0.5510204081632653	0.568421052631579	27	19	0	22
28	104.16.123.96	Europe_countries_15	0.1	-1	0	0.4461538461538462	0.6444444444444445	0.5918367346938775	0.6170212765957447	29	16	0	20
23	104.16.123.96	Europe_countries_15	0.2	-1	0	0.46875	0.6666666666666666	0.6122448979591837	0.6382978723404255	30	15	0	19
2	104.16.123.96	Europe_countries_15	0.3	-1	0	0.4117647058823529	0.5957446808510638	0.5714285714285714	0.5833333333333334	28	19	0	21
24	104.16.123.96	Europe_countries_15	0.4	-1	0	0.4264705882352941	0.6041666666666666	0.5918367346938775	0.5979381443298969	29	19	0	20
9	104.16.123.96	Europe_countries_15	0.5	-1	0	0.43283582089552236	0.6170212765957447	0.5918367346938775	0.6041666666666666	29	18	0	20
12	104.16.123.96	Europe_countries_15	0.6	-1	0	0.43283582089552236	0.6170212765957447	0.5918367346938775	0.6041666666666666	29	18	0	20
30	104.16.123.96	Europe_countries_15	0.7	-1	0	0.44776119402985076	0.625	0.6122448979591837	0.6185567010309279	30	18	0	19
10	104.16.123.96	Europe_countries_15	0.8	-1	0	0.44776119402985076	0.625	0.6122448979591837	0.6185567010309279	30	18	0	19
20	104.16.123.96	Europe_countries_15	0.9	-1	0	0.4696969696969697	0.6458333333333334	0.6326530612244898	0.6391752577319587	31	17	0	18
6	104.16.123.96	Europe_countries_15	1.0	-1	0	0.4626865671641791	0.6326530612244898	0.6326530612244898	0.6326530612244898	31	18	0	18
31	104.16.123.96	Europe_countries_5	0.0	-1	0	0.23943661971830985	0.4594594594594595	0.3333333333333333	0.38636363636363635	17	20	0	34
11	104.16.123.96	Europe_countries_5	0.1	-1	0	0.3492063492063492	0.6470588235294118	0.43137254901960786	0.5176470588235293	22	12	0	29
1	104.16.123.96	Europe_countries_5	0.2	-1	0	0.38333333333333336	0.696969696969697	0.46	0.5542168674698795	23	10	0	27
27	104.16.123.96	Europe_countries_5	0.3	-1	0	0.38333333333333336	0.71875	0.45098039215686275	0.5542168674698795	23	9	0	28
5	104.16.123.96	Europe_countries_5	0.4	-1	0	0.38333333333333336	0.71875	0.45098039215686275	0.5542168674698795	23	9	0	28
16	104.16.123.96	Europe_countries_5	0.5	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
8	104.16.123.96	Europe_countries_5	0.6	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
4	104.16.123.96	Europe_countries_5	0.7	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
29	104.16.123.96	Europe_countries_5	0.8	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
15	104.16.123.96	Europe_countries_5	0.9	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
21	104.16.123.96	Europe_countries_5	1.0	-1	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
