	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
18	104.16.123.96	Europe_countries_10	1	-1.0	0	0.5	0.9	0.5294117647058824	0.6666666666666667	27	3	0	24
0	104.16.123.96	Europe_countries_10	1	0.5	0	0.0392156862745098	1.0	0.0392156862745098	0.07547169811320754	2	0	0	49
13	104.16.123.96	Europe_countries_10	1	1.0	0	0.17647058823529413	1.0	0.17647058823529413	0.3	9	0	0	42
14	104.16.123.96	Europe_countries_10	1	5.0	0	0.5098039215686274	1.0	0.5098039215686274	0.6753246753246753	26	0	0	25
8	104.16.123.96	Europe_countries_10	1	10.0	0	0.5094339622641509	0.9310344827586207	0.5294117647058824	0.6749999999999999	27	2	0	24
2	104.16.123.96	Europe_countries_10	1	20.0	0	0.5	0.9	0.5294117647058824	0.6666666666666667	27	3	0	24
11	104.16.123.96	Europe_countries_10	1	30.0	0	0.5	0.9	0.5294117647058824	0.6666666666666667	27	3	0	24
4	104.16.123.96	Europe_countries_15	1	-1.0	0	0.5	0.8709677419354839	0.54	0.6666666666666666	27	4	0	23
19	104.16.123.96	Europe_countries_15	1	0.5	0	0.08	1.0	0.08	0.14814814814814814	4	0	0	46
5	104.16.123.96	Europe_countries_15	1	1.0	0	0.17647058823529413	0.9	0.18	0.3	9	1	0	41
6	104.16.123.96	Europe_countries_15	1	5.0	0	0.5294117647058824	0.9642857142857143	0.54	0.6923076923076923	27	1	0	23
15	104.16.123.96	Europe_countries_15	1	10.0	0	0.5192307692307693	0.9310344827586207	0.54	0.6835443037974683	27	2	0	23
7	104.16.123.96	Europe_countries_15	1	20.0	0	0.5	0.8709677419354839	0.54	0.6666666666666666	27	4	0	23
3	104.16.123.96	Europe_countries_15	1	30.0	0	0.5	0.8709677419354839	0.54	0.6666666666666666	27	4	0	23
16	104.16.123.96	Europe_countries_5	1	-1.0	0	0.39622641509433965	0.9130434782608695	0.4117647058823529	0.5675675675675675	21	2	0	30
12	104.16.123.96	Europe_countries_5	1	1.0	0	0.0784313725490196	1.0	0.0784313725490196	0.14545454545454545	4	0	0	47
17	104.16.123.96	Europe_countries_5	1	5.0	0	0.37254901960784315	1.0	0.37254901960784315	0.5428571428571428	19	0	0	32
1	104.16.123.96	Europe_countries_5	1	10.0	0	0.40384615384615385	0.9545454545454546	0.4117647058823529	0.5753424657534247	21	1	0	30
9	104.16.123.96	Europe_countries_5	1	20.0	0	0.40384615384615385	0.9545454545454546	0.4117647058823529	0.5753424657534247	21	1	0	30
10	104.16.123.96	Europe_countries_5	1	30.0	0	0.40384615384615385	0.9545454545454546	0.4117647058823529	0.5753424657534247	21	1	0	30
