	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
9	192.203.230.10	North-Central_100	0.0	-1	0	0.1111111111111111	0.4117647058823529	0.1320754716981132	0.2	7	10	0	46
12	192.203.230.10	North-Central_100	0.1	-1	0	0.13114754098360656	0.5	0.1509433962264151	0.2318840579710145	8	8	0	45
2	192.203.230.10	North-Central_100	0.2	-1	0	0.16666666666666666	0.5882352941176471	0.18867924528301888	0.28571428571428575	10	7	0	43
18	192.203.230.10	North-Central_100	0.3	-1	0	0.19298245614035087	0.6875	0.21153846153846154	0.3235294117647059	11	5	0	41
25	192.203.230.10	North-Central_100	0.4	-1	0	0.21428571428571427	0.75	0.23076923076923078	0.3529411764705882	12	4	0	40
26	192.203.230.10	North-Central_100	0.5	-1	0	0.23214285714285715	0.8125	0.24528301886792453	0.37681159420289856	13	3	0	40
16	192.203.230.10	North-Central_100	0.6	-1	0	0.2545454545454545	0.875	0.2641509433962264	0.4057971014492754	14	2	0	39
22	192.203.230.10	North-Central_100	0.7	-1	0	0.2777777777777778	0.9375	0.2830188679245283	0.4347826086956522	15	1	0	38
19	192.203.230.10	North-Central_100	0.8	-1	0	0.25925925925925924	0.9333333333333333	0.2641509433962264	0.411764705882353	14	1	0	39
20	192.203.230.10	North-Central_100	0.9	-1	0	0.25925925925925924	0.9333333333333333	0.2641509433962264	0.411764705882353	14	1	0	39
28	192.203.230.10	North-Central_100	1.0	-1	0	0.25925925925925924	0.9333333333333333	0.2641509433962264	0.411764705882353	14	1	0	39
14	192.203.230.10	North-Central_1000	0.0	-1	0	0.5	0.7560975609756098	0.5961538461538461	0.6666666666666667	31	10	0	21
0	192.203.230.10	North-Central_1000	0.1	-1	0	0.5	0.7560975609756098	0.5961538461538461	0.6666666666666667	31	10	0	21
29	192.203.230.10	North-Central_1000	0.2	-1	0	0.5	0.7560975609756098	0.5961538461538461	0.6666666666666667	31	10	0	21
3	192.203.230.10	North-Central_1000	0.3	-1	0	0.576271186440678	0.8292682926829268	0.6538461538461539	0.7311827956989247	34	7	0	18
6	192.203.230.10	North-Central_1000	0.4	-1	0	0.603448275862069	0.8536585365853658	0.6730769230769231	0.7526881720430108	35	6	0	17
21	192.203.230.10	North-Central_1000	0.5	-1	0	0.6206896551724138	0.8571428571428571	0.6923076923076923	0.7659574468085107	36	6	0	16
