	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
0	192.36.148.17	North-Central-section_1	0.0	-1	0	0.3902439024390244	0.5333333333333333	0.5925925925925926	0.5614035087719299	16	14	0	11
26	192.36.148.17	North-Central-section_1	0.1	-1	0	0.425	0.5666666666666667	0.6296296296296297	0.5964912280701755	17	13	0	10
3	192.36.148.17	North-Central-section_1	0.2	-1	0	0.46153846153846156	0.6	0.6666666666666666	0.631578947368421	18	12	0	9
9	192.36.148.17	North-Central-section_1	0.3	-1	0	0.5135135135135135	0.6551724137931034	0.7037037037037037	0.6785714285714286	19	10	0	8
8	192.36.148.17	North-Central-section_1	0.4	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
12	192.36.148.17	North-Central-section_1	0.5	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
24	192.36.148.17	North-Central-section_1	0.6	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
17	192.36.148.17	North-Central-section_1	0.7	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
28	192.36.148.17	North-Central-section_1	0.8	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
14	192.36.148.17	North-Central-section_1	0.9	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
15	192.36.148.17	North-Central-section_1	1.0	-1	0	0.5	0.6333333333333333	0.7037037037037037	0.6666666666666667	19	11	0	8
21	192.36.148.17	North-Central-section_1.5	0.0	-1	0	0.34210526315789475	0.5416666666666666	0.48148148148148145	0.5098039215686274	13	11	0	14
31	192.36.148.17	North-Central-section_1.5	0.1	-1	0	0.3684210526315789	0.56	0.5185185185185185	0.5384615384615384	14	11	0	13
5	192.36.148.17	North-Central-section_1.5	0.2	-1	0	0.38461538461538464	0.5555555555555556	0.5555555555555556	0.5555555555555556	15	12	0	12
11	192.36.148.17	North-Central-section_1.5	0.3	-1	0	0.42105263157894735	0.5925925925925926	0.5925925925925926	0.5925925925925926	16	11	0	11
10	192.36.148.17	North-Central-section_1.5	0.4	-1	0	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	18	9	0	9
4	192.36.148.17	North-Central-section_1.5	0.5	-1	0	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	18	9	0	9
19	192.36.148.17	North-Central-section_1.5	0.6	-1	0	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	18	9	0	9
1	192.36.148.17	North-Central-section_1.5	0.7	-1	0	0.5588235294117647	0.7307692307692307	0.7037037037037037	0.7169811320754716	19	7	0	8
13	192.36.148.17	North-Central-section_1.5	0.8	-1	0	0.5588235294117647	0.7307692307692307	0.7037037037037037	0.7169811320754716	19	7	0	8
27	192.36.148.17	North-Central-section_1.5	0.9	-1	0	0.5294117647058824	0.72	0.6666666666666666	0.6923076923076923	18	7	0	9
25	192.36.148.17	North-Central-section_1.5	1.0	-1	0	0.5294117647058824	0.72	0.6666666666666666	0.6923076923076923	18	7	0	9
29	192.36.148.17	North-Central-section_2	0.0	-1	0	0.23684210526315788	0.45	0.3333333333333333	0.3829787234042553	9	11	0	18
6	192.36.148.17	North-Central-section_2	0.1	-1	0	0.20512820512820512	0.4	0.2962962962962963	0.3404255319148936	8	12	0	19
23	192.36.148.17	North-Central-section_2	0.2	-1	0	0.23076923076923078	0.42857142857142855	0.3333333333333333	0.375	9	12	0	18
7	192.36.148.17	North-Central-section_2	0.3	-1	0	0.23076923076923078	0.42857142857142855	0.3333333333333333	0.375	9	12	0	18
22	192.36.148.17	North-Central-section_2	0.4	-1	0	0.2564102564102564	0.45454545454545453	0.37037037037037035	0.40816326530612246	10	12	0	17
30	192.36.148.17	North-Central-section_2	0.5	-1	0	0.2564102564102564	0.45454545454545453	0.37037037037037035	0.40816326530612246	10	12	0	17
16	192.36.148.17	North-Central-section_2	0.6	-1	0	0.2564102564102564	0.45454545454545453	0.37037037037037035	0.40816326530612246	10	12	0	17
32	192.36.148.17	North-Central-section_2	0.7	-1	0	0.2894736842105263	0.5	0.4074074074074074	0.44897959183673464	11	11	0	16
18	192.36.148.17	North-Central-section_2	0.8	-1	0	0.2894736842105263	0.5	0.4074074074074074	0.44897959183673464	11	11	0	16
20	192.36.148.17	North-Central-section_2	0.9	-1	0	0.2894736842105263	0.5	0.4074074074074074	0.44897959183673464	11	11	0	16
2	192.36.148.17	North-Central-section_2	1.0	-1	0	0.2894736842105263	0.5	0.4074074074074074	0.44897959183673464	11	11	0	16
