	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
1	192.58.128.30	North-Central-section_1	1	-1.0	0	0.49056603773584906	0.65	0.6666666666666666	0.6582278481012659	26	14	0	13
3	192.58.128.30	North-Central-section_1	1	1.0	0	0.275	0.9166666666666666	0.28205128205128205	0.4313725490196078	11	1	0	28
6	192.58.128.30	North-Central-section_1	1	5.0	0	0.5454545454545454	0.8275862068965517	0.6153846153846154	0.7058823529411765	24	5	0	15
16	192.58.128.30	North-Central-section_1	1	10.0	0	0.49056603773584906	0.65	0.6666666666666666	0.6582278481012659	26	14	0	13
12	192.58.128.30	North-Central-section_1	1	20.0	0	0.49056603773584906	0.65	0.6666666666666666	0.6582278481012659	26	14	0	13
5	192.58.128.30	North-Central-section_1	1	30.0	0	0.49056603773584906	0.65	0.6666666666666666	0.6582278481012659	26	14	0	13
8	192.58.128.30	North-Central-section_1.5	1	-1.0	0	0.4772727272727273	0.8076923076923077	0.5384615384615384	0.6461538461538461	21	5	0	18
18	192.58.128.30	North-Central-section_1.5	1	0.5	0	0.07692307692307693	1.0	0.07692307692307693	0.14285714285714288	3	0	0	36
7	192.58.128.30	North-Central-section_1.5	1	1.0	0	0.20512820512820512	1.0	0.20512820512820512	0.3404255319148936	8	0	0	31
17	192.58.128.30	North-Central-section_1.5	1	5.0	0	0.4523809523809524	0.8636363636363636	0.48717948717948717	0.6229508196721312	19	3	0	20
9	192.58.128.30	North-Central-section_1.5	1	10.0	0	0.4772727272727273	0.8076923076923077	0.5384615384615384	0.6461538461538461	21	5	0	18
19	192.58.128.30	North-Central-section_1.5	1	20.0	0	0.4772727272727273	0.8076923076923077	0.5384615384615384	0.6461538461538461	21	5	0	18
15	192.58.128.30	North-Central-section_1.5	1	30.0	0	0.4772727272727273	0.8076923076923077	0.5384615384615384	0.6461538461538461	21	5	0	18
4	192.58.128.30	North-Central-section_2	1	-1.0	0	0.43137254901960786	0.6470588235294118	0.5641025641025641	0.6027397260273972	22	12	0	17
2	192.58.128.30	North-Central-section_2	1	0.5	0	0.075	0.75	0.07692307692307693	0.13953488372093026	3	1	0	36
10	192.58.128.30	North-Central-section_2	1	1.0	0	0.2	0.8888888888888888	0.20512820512820512	0.3333333333333333	8	1	0	31
13	192.58.128.30	North-Central-section_2	1	5.0	0	0.42857142857142855	0.8571428571428571	0.46153846153846156	0.6	18	3	0	21
11	192.58.128.30	North-Central-section_2	1	10.0	0	0.4583333333333333	0.7096774193548387	0.5641025641025641	0.6285714285714286	22	9	0	17
14	192.58.128.30	North-Central-section_2	1	20.0	0	0.43137254901960786	0.6470588235294118	0.5641025641025641	0.6027397260273972	22	12	0	17
0	192.58.128.30	North-Central-section_2	1	30.0	0	0.43137254901960786	0.6470588235294118	0.5641025641025641	0.6027397260273972	22	12	0	17
