	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
15	199.9.14.201	North-Central_100	1	-1.0	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	1	5	0	0
11	199.9.14.201	North-Central_100	1	10.0	0	0.3333333333333333	0.3333333333333333	1.0	0.5	1	2	0	0
12	199.9.14.201	North-Central_100	1	20.0	0	0.25	0.25	1.0	0.4	1	3	0	0
2	199.9.14.201	North-Central_100	1	30.0	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
5	199.9.14.201	North-Central_1000	1	-1.0	0	0.1	0.1	1.0	0.18181818181818182	1	9	0	0
16	199.9.14.201	North-Central_1000	1	5.0	0	0.5	0.5	1.0	0.6666666666666666	1	1	0	0
6	199.9.14.201	North-Central_1000	1	10.0	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
7	199.9.14.201	North-Central_1000	1	20.0	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
13	199.9.14.201	North-Central_1000	1	30.0	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
9	199.9.14.201	North-Central_300	1	-1.0	0	0.1	0.1	1.0	0.18181818181818182	1	9	0	0
3	199.9.14.201	North-Central_300	1	10.0	0	0.25	0.25	1.0	0.4	1	3	0	0
10	199.9.14.201	North-Central_300	1	20.0	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
1	199.9.14.201	North-Central_300	1	30.0	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
0	199.9.14.201	North-Central_500	1	-1.0	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
4	199.9.14.201	North-Central_500	1	10.0	0	0.25	0.25	1.0	0.4	1	3	0	0
14	199.9.14.201	North-Central_500	1	20.0	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
8	199.9.14.201	North-Central_500	1	30.0	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
