#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1004045	32.0695	34.7695	43.745340730787504	TLV	32.0113983154	34.8866996765
1003956	42.7005	23.3195	47.05449721784276	SOF	42.6966934204	23.4114360809
28037	59.8905	30.3285	53.33495198106249	LED	59.8003005981	30.2625007629
6621	40.9475	17.2785	55.850545997878946	TAR	40.5175018311	17.4032001495
1003944	50.1095	8.6795	56.27952533745132	QMZ	49.9674987793	8.1472215652
1005247	40.4205	-3.6905	59.28376133761973	TOJ	40.4967002869	-3.4458699226
6892	53.4685	-2.3085	59.437602204225	BLK	53.7717018127	-3.0286099911
22872	48.8585	2.3805	62.15141426070593	CSF	49.2535018921	2.5191400051
30605	35.1595	33.3275	68.60099536125131	LCA	34.8750991821	33.6249008179
30144	50.0795	14.5295	72.7293544629796	PRG	50.1007995605	14.2600002289
1001780	54.6375	25.3115	74.17457106560789	VNO	54.6341018677	25.2858009338
6330	60.2075	24.8985	75.17779102456645	HEL	60.317199707	24.963300705
54408	45.0915	7.6575	75.79453511414933	AOT	45.7384986877	7.3687200546
35643	50.4485	30.4795	76.35349026281513	KBP	50.3450012207	30.8946990967
1003038	43.2215	27.9285	76.70199899524012	VAR	43.2321014404	27.8250999451
1000720	48.1375	11.5785	77.09577244418553	IGS	48.7156982422	11.5340003967
1003342	52.5185	13.3995	77.69170857040065	SXF	52.3800010681	13.5225000381
23076	56.9405	24.1205	77.84939545867104	RIX	56.9235992432	23.9710998535
7081	51.5075	0.0015	82.8232876310875	CBG	52.2050018311	0.174999997
50644	47.5195	19.0595	83.83183285081316	BUD	47.4369010925	19.2555999756
1004258	52.3815	4.8995	83.8460335461921	QAR	52.0606002808	5.8730602264
33283	45.4785	9.1015	87.33723505873026	QPZ	44.9131011963	9.7233295441
1001120	53.3475	-6.2615	91.83836241415591	DUB	53.4212989807	-6.270070076
11662	53.5985	10.0505	95.24169712403683	KEL	54.3794441223	10.145277977
23973	55.7785	37.6105	102.20003785972104	DME	55.4087982178	37.9062995911
61257	44.8105	20.3895	102.22656554761645	BEG	44.8184013367	20.3090991974
1002174	41.3695	2.0705	102.82555876797565	GRO	41.9010009766	2.7605500221
53382	50.8785	4.5015	107.34759270270919	LIL	50.5619010925	3.0894401073
14306	55.7205	12.5475	108.94536816472105	KID	55.9216995239	14.0854997635
51501	59.3275	18.0675	111.97840001940789	EKT	59.3511009216	16.7084007263
6662	40.9885	28.8305	114.88885226051119	YEI	40.2551994324	29.5625991821
52321	59.9075	10.7485	146.60492199810855	RYG	59.3788986206	10.7855997086
32589	38.6615	-9.0685	158.17503717404605	BYJ	38.0788993835	-7.9324002266
13593	46.3085	16.3415	179.17865456703024	KLU	46.6425018311	14.3376998901
33893	64.1485	-21.9385	212.23718309763885	VEY	63.4243011475	-20.2789001465
28055	37.9395	23.7095	281.275836001194	MJT	39.0567016602	26.5983009338
60131	36.8575	42.9885	335.6973384106263	TBZ	38.1338996887	46.2350006104
25742	52.1785	21.1795	354.4854500926145	TAT	49.073600769	20.2411003113
