#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
7105	42.4695	-83.2425	35.214174365944736	DET	42.40919876	-83.00990295
1005247	40.4205	-3.6905	53.786415754984866	ECV	40.3707008362	-3.7851400375
7129	50.0715	14.5285	53.984831026529605	PRG	50.1007995605	14.2600002289
6330	60.2075	24.8985	54.49181557474605	FICIX	60.1733244	24.9410248
6299	12.3715	-1.5085	54.612324253586834	OUA	12.3531999588	-1.5124200583
6846	48.9305	2.3495	57.068255626623674	PAR	49.0127983093	2.5499999523
1003184	39.0195	-77.4485	58.36840818131841	ADW	38.810798645	-76.8669967651
1003630	19.1375	73.0085	61.04218216610592	BOM	19.0886993408	72.8678970337
6892	53.4685	-2.3085	62.33424821370986	LPL	53.3335990906	-2.8497200012
7159	33.4215	-112.0105	62.76490402426447	AZA	33.30780029	-111.6549988
13520	47.6075	-122.3415	63.07682624290066	BFI	47.5299987793	-122.3020019531
15238	11.5715	43.1585	66.84730809789144	NoCity	11.5715	43.1585
19810	48.7375	9.0975	67.8826768533329	STR	48.6898994446	9.2219600677
6621	40.9475	17.2785	69.12790032937433	BRI	41.1389007568	16.7605991364
1004809	50.1015	8.6275	69.82689011302698	DEX	50.121212	8.6365638
1004057	38.7305	-9.1405	70.4731203687092	LIS	38.7812995911	-9.1359195709
11441	50.4375	30.4395	70.87714987542829	GML	50.6035003662	30.1919002533
1002099	54.6415	25.3015	71.32693717836842	VNO	54.6341018677	25.2858009338
17293	45.3385	-75.7985	72.0947608882329	YOW	45.3224983215	-75.6691970825
1000559	42.6915	23.3395	73.05912616677959	SOF	42.6966934204	23.4114360809
21699	-12.0985	-77.0085	74.39251229329868	LIM	-12.021900177	-77.1143035889
1004763	59.2985	18.0805	76.24520996055065	ARN	59.6519012451	17.9186000824
1004313	1.2885	103.8475	79.0806154712138	QPG	1.3604199886	103.9100036621
1000720	48.1375	11.5785	80.75343766366579	MUC	48.3538017273	11.7861003876
6763	45.4785	9.1005	82.6334519463342	LIN	45.445098877	9.2767400742
50644	47.5195	19.0595	84.79738152064145	BIX	47.4812134	19.1303031
14087	55.7105	12.5715	89.29416977470132	CPH	55.6179008484	12.6560001373
6452	25.7985	-80.2305	89.38667152654473	MIA	25.7931995392	-80.2906036377
1005027	51.5405	-0.6715	91.66795406960854	BQH	51.3307991028	0.0324999988
54002	37.4685	-121.9225	92.46477086587171	SJC	37.3625984192	-121.9290008545
1000302	34.0485	-118.2425	93.0312208259875	LAX	33.94250107	-118.4079971
1002236	40.1705	44.4885	94.82336830599868	EVN	40.1473007202	44.3959007263
33175	-33.9205	18.3905	101.10865525028487	CPT	-33.9648017883	18.6016998291
1002174	41.3695	2.0705	101.24918296497235	BCN	41.2971000671	2.0784599781
17540	52.4475	13.4295	106.56635722498683	SXF	52.3800010681	13.5225000381
1004430	35.6875	139.6885	106.86417736418419	TOK	35.673343	139.710388
6626	52.2905	4.9485	110.84678210639804	AMX	52.3086013794	4.7638897896
6776	40.9905	28.8305	115.00492322204606	IST	40.9768981934	28.8145999908
1004114	55.7395	37.6075	115.28765512240328	CKL	55.8782997131	38.0616989136
1003885	41.9995	-87.9985	128.87919983915788	CHI	41.7859992981	-87.7524032593
1003680	32.7775	-96.7985	132.4301626114158	DAL	32.8470993042	-96.8517990112
6927	40.7905	-74.0815	136.64974145776577	JFK	40.63980103	-73.77890015
33659	43.2715	76.9295	137.7243593573796	ALA	43.3521003723	77.0404968262
60512	12.9985	77.6175	151.0382015867237	BLR	13.1978998184	77.7062988281
54182	33.9185	-84.3585	153.29443568099407	ATL	33.6366996765	-84.4281005859
60184	32.3795	-86.2385	154.93757447546645	BHM	33.56290054	-86.75350189
6711	-23.5525	-46.6325	156.73415967278356	CGH	-23.6261100769	-46.6563873291
1005014	39.9995	116.3275	163.80926168158354	BEI	39.7827987671	116.3880004883
52332	22.3785	114.1985	170.0918859954862	HKX	22.308889	113.914722
19496	-20.9495	55.3015	177.36619220335194	RUN	-20.8871002197	55.5102996826
13593	46.3085	16.3415	182.70871075998028	ZAG	45.7429008484	16.0687999725
50846	49.2405	-123.1205	184.0173442855263	YDT	49.0741996765	-123.012001038
52321	59.9075	10.7485	190.7971901695724	NIX	60.193901062	11.100399971
32480	52.2275	21.1015	191.0218372811921	WAW	52.1656990051	20.9671001434
62763	64.1485	-21.9295	194.51274294590988	KEF	63.9850006104	-22.6056003571
21165	14.5895	121.1105	210.48931417474668	MNL	14.508600235	121.019996643
1002723	-6.2115	106.8485	213.23409163642896	CGK	-6.1255698204	106.65599823
6688	-33.8685	151.2115	216.04967534312564	BWU	-33.9244003296	150.9880065918
52266	32.1805	34.9105	217.80158751956313	BEY	33.8208999634	35.4883995056
6704	34.6895	135.4975	222.56542773949934	ITM	34.7854995728	135.43800354
50134	-37.8105	144.9585	225.78533680073548	AVV	-38.0393981934	144.468994141
15763	42.3385	-71.0895	234.32804123057366	BOS	42.36429977	-71.00520325
62380	37.9675	23.7215	236.18073889782562	ATH	37.9364013672	23.9444999695
61841	44.4475	26.2295	239.45478811019404	BBU	44.503200531	26.1021003723
52648	40.5615	-111.8405	311.7948068415342	SLC	40.7883987427	-111.9779968262
55190	-33.4625	-70.5685	324.48746726398946	SCL	-33.3930015564	-70.7857971191
