#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1004306	22.2905	114.1475	98.07493308401709	HUZ	23.0499992371	114.599998474
1002178	52.3715	4.9005	106.03225329323422	UDE	51.6563987732	5.7086100578
13593	46.3085	16.3415	172.90658215872173	KLU	46.6425018311	14.3376998901
1004374	37.9295	-76.8495	178.04131692949275	BWI	39.17539978	-76.66829681
1004154	-34.5005	-58.5205	184.50204163127304	GHU	-33.0103	-58.6131
1005282	48.9285	2.2215	193.50054893639935	LIL	50.5619010925	3.0894401073
62022	-20.9815	55.3385	197.51964157646188	RUN	-20.8871002197	55.5102996826
15706	55.6705	37.8575	218.84957911534144	KLD	56.8246994019	35.7577018738
33915	55.7295	12.5475	281.46291043962367	GSE	57.7747001648	11.8704004288
61083	38.7985	-9.1885	286.22675065955985	OPO	41.2481002808	-8.6813898087
61674	44.8495	24.8705	288.275200967973	SOF	42.6966934204	23.4114360809
55763	50.0585	14.5005	318.7965385908763	TXL	52.5597000122	13.2876996994
1005037	32.8805	-117.2315	319.0800594187546	SBA	34.42620087	-119.8399963
61223	33.6785	73.0485	359.92214687206837	LHE	31.5216007233	74.4036026001
30219	-37.7385	175.2575	475.7386792813974	WEL	-41.3272018433	174.804992676
20088	45.6715	4.7515	482.7839006603375	PAR	49.0127983093	2.5499999523
20313	55.9185	23.2875	492.582972167452	WAW	52.1656990051	20.9671001434
52427	45.5105	-122.6815	675.1493801258224	YVR	49.193901062	-123.183998108
62828	28.6715	-81.2115	807.7756898421597	HAV	22.989200592	-82.4091033936
62659	30.3715	-97.6505	963.222714264346	CJS	31.636100769	-106.4290008545
