sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
1.25,0.08928571428571429,area,500,verloc_aprox,1,1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,1,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.9,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.8,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.7,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.6,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.5,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.364484126984127,0.09746315192743764,area,1000,constant_1.52,1,0.4,0.0,0.0,0.050000000000000044,0.0,0.0,0.05555555555555558,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,1,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,0.9,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,0.8,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,0.7,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,0.6,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.4345238095238095,0.10246598639455783,area,500,constant_1.52,1,0.5,0.0,0.0,0.125,0.0,0.16666666666666663,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.5,0.10714285714285714,area,500,verloc_aprox,1,0.9,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1.5,0.10714285714285714,area,500,verloc_aprox,1,0.8,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1.5,0.10714285714285714,area,500,verloc_aprox,1,0.7,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5
