,target,probes_file,probe_selection,probe_set_number,threshold,alpha,Accuracy,Precision,Recall,F1,distance_function,gt_instances_in_region,filename
0,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.0_-1.0_0_root_servers_M.json
1,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.1,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.1_-1.0_0_root_servers_M.json
2,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.2,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.2_-1.0_0_root_servers_M.json
3,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.3,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.3_-1.0_0_root_servers_M.json
4,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.4,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.4_-1.0_0_root_servers_M.json
5,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.5,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.5_-1.0_0_root_servers_M.json
6,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.6,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.6_-1.0_0_root_servers_M.json
7,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.7,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.7_-1.0_0_root_servers_M.json
8,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.8,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.8_-1.0_0_root_servers_M.json
9,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,0.9,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.9_-1.0_0_root_servers_M.json
10,202.12.27.33,North-Central_1000.json,area,1000.0,-1.0,1.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_1.0_-1.0_0_root_servers_M.json
