target,Accuracy,Precision,Recall,F1,gt_instances_in_region
104.16.123.96,0.1458333333333333,1.0,0.1458333333333333,0.2545454545454546,55
192.112.36.4,0.0,0.0,0.0,0.0,2
192.203.230.10,0.0625,1.0,0.0625,0.1176470588235294,66
192.33.4.12,0.6666666666666666,1.0,0.6666666666666666,0.8,4
192.36.148.17,0.1363636363636363,0.75,0.1428571428571428,0.24,27
192.5.5.241,0.1521739130434782,1.0,0.1521739130434782,0.2641509433962264,69
192.58.128.30,0.1,1.0,0.1,0.1818181818181818,40
193.0.14.129,0.1081081081081081,1.0,0.1081081081081081,0.1951219512195122,43
198.41.0.4,0.2,1.0,0.2,0.3333333333333333,6
198.97.190.53,1.0,1.0,1.0,1.0,2
199.7.83.42,0.0384615384615384,1.0,0.0384615384615384,0.074074074074074,42
199.7.91.13,0.1081081081081081,1.0,0.1081081081081081,0.1951219512195122,52
199.9.14.201,0.0,0.0,0.0,0.0,1
202.12.27.33,0.0,0.0,0.0,0.0,1
