	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
3	104.16.123.96	Europe_countries_10	0.0	-1	0	0.19047619047619047	0.5	0.23529411764705882	0.31999999999999995	12	12	0	39
0	104.16.123.96	Europe_countries_10	0.1	-1	0	0.25	0.625	0.29411764705882354	0.4	15	9	0	36
25	104.16.123.96	Europe_countries_10	0.2	-1	0	0.25	0.625	0.29411764705882354	0.4	15	9	0	36
18	104.16.123.96	Europe_countries_10	0.3	-1	0	0.29310344827586204	0.7083333333333334	0.3333333333333333	0.4533333333333333	17	7	0	34
22	104.16.123.96	Europe_countries_10	0.4	-1	0	0.32142857142857145	0.782608695652174	0.35294117647058826	0.48648648648648657	18	5	0	33
13	104.16.123.96	Europe_countries_10	0.5	-1	0	0.32142857142857145	0.782608695652174	0.35294117647058826	0.48648648648648657	18	5	0	33
7	104.16.123.96	Europe_countries_10	0.6	-1	0	0.4230769230769231	0.9565217391304348	0.43137254901960786	0.5945945945945946	22	1	0	29
26	104.16.123.96	Europe_countries_10	0.7	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216	23	0	0	28
14	104.16.123.96	Europe_countries_10	0.8	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216	23	0	0	28
32	104.16.123.96	Europe_countries_10	0.9	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216	23	0	0	28
17	104.16.123.96	Europe_countries_10	1.0	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216	23	0	0	28
19	104.16.123.96	Europe_countries_15	0.0	-1	0	0.27419354838709675	0.6071428571428571	0.3333333333333333	0.430379746835443	17	11	0	34
28	104.16.123.96	Europe_countries_15	0.1	-1	0	0.29508196721311475	0.6428571428571429	0.35294117647058826	0.4556962025316456	18	10	0	33
23	104.16.123.96	Europe_countries_15	0.2	-1	0	0.3620689655172414	0.75	0.4117647058823529	0.5316455696202532	21	7	0	30
2	104.16.123.96	Europe_countries_15	0.3	-1	0	0.3620689655172414	0.75	0.4117647058823529	0.5316455696202532	21	7	0	30
24	104.16.123.96	Europe_countries_15	0.4	-1	0	0.41818181818181815	0.8518518518518519	0.45098039215686275	0.5897435897435898	23	4	0	28
9	104.16.123.96	Europe_countries_15	0.5	-1	0	0.4444444444444444	0.8888888888888888	0.47058823529411764	0.6153846153846153	24	3	0	27
12	104.16.123.96	Europe_countries_15	0.6	-1	0	0.4716981132075472	0.9259259259259259	0.49019607843137253	0.6410256410256411	25	2	0	26
30	104.16.123.96	Europe_countries_15	0.7	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683	27	1	0	24
10	104.16.123.96	Europe_countries_15	0.8	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683	27	1	0	24
20	104.16.123.96	Europe_countries_15	0.9	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683	27	1	0	24
6	104.16.123.96	Europe_countries_15	1.0	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683	27	1	0	24
31	104.16.123.96	Europe_countries_5	0.0	-1	0	0.13333333333333333	0.47058823529411764	0.1568627450980392	0.23529411764705882	8	9	0	43
11	104.16.123.96	Europe_countries_5	0.1	-1	0	0.1724137931034483	0.5882352941176471	0.19607843137254902	0.29411764705882354	10	7	0	41
1	104.16.123.96	Europe_countries_5	0.2	-1	0	0.19298245614035087	0.6470588235294118	0.21568627450980393	0.3235294117647059	11	6	0	40
27	104.16.123.96	Europe_countries_5	0.3	-1	0	0.19642857142857142	0.6875	0.21568627450980393	0.3283582089552239	11	5	0	40
5	104.16.123.96	Europe_countries_5	0.4	-1	0	0.23636363636363636	0.7647058823529411	0.2549019607843137	0.38235294117647056	13	4	0	38
16	104.16.123.96	Europe_countries_5	0.5	-1	0	0.25925925925925924	0.8235294117647058	0.27450980392156865	0.4117647058823529	14	3	0	37
8	104.16.123.96	Europe_countries_5	0.6	-1	0	0.2830188679245283	0.8823529411764706	0.29411764705882354	0.4411764705882352	15	2	0	36
4	104.16.123.96	Europe_countries_5	0.7	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576	17	1	0	34
29	104.16.123.96	Europe_countries_5	0.8	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576	17	1	0	34
15	104.16.123.96	Europe_countries_5	0.9	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576	17	1	0	34
21	104.16.123.96	Europe_countries_5	1.0	-1	0	0.3333333333333333	1.0	0.3333333333333333	0.5	17	0	0	34
