	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
18	104.16.123.96	Europe_countries_10	1	-1.0	0	0.5172413793103449	0.7692307692307693	0.6122448979591837	0.6818181818181818	30	9	0	19
0	104.16.123.96	Europe_countries_10	1	0.5	0	0.02	1.0	0.02	0.0392156862745098	1	0	0	49
13	104.16.123.96	Europe_countries_10	1	1.0	0	0.16	1.0	0.16	0.2758620689655173	8	0	0	42
14	104.16.123.96	Europe_countries_10	1	5.0	0	0.49056603773584906	0.8666666666666667	0.5306122448979592	0.6582278481012658	26	4	0	23
8	104.16.123.96	Europe_countries_10	1	10.0	0	0.5178571428571429	0.8055555555555556	0.5918367346938775	0.6823529411764706	29	7	0	20
2	104.16.123.96	Europe_countries_10	1	20.0	0	0.5087719298245614	0.7837837837837838	0.5918367346938775	0.6744186046511628	29	8	0	20
11	104.16.123.96	Europe_countries_10	1	30.0	0	0.5263157894736842	0.7894736842105263	0.6122448979591837	0.6896551724137931	30	8	0	19
4	104.16.123.96	Europe_countries_15	1	-1.0	0	0.4626865671641791	0.6326530612244898	0.6326530612244898	0.6326530612244898	31	18	0	18
19	104.16.123.96	Europe_countries_15	1	0.5	0	0.061224489795918366	1.0	0.061224489795918366	0.11538461538461538	3	0	0	46
5	104.16.123.96	Europe_countries_15	1	1.0	0	0.16	0.8888888888888888	0.16326530612244897	0.27586206896551724	8	1	0	41
6	104.16.123.96	Europe_countries_15	1	5.0	0	0.46551724137931033	0.75	0.5510204081632653	0.6352941176470588	27	9	0	22
15	104.16.123.96	Europe_countries_15	1	10.0	0	0.46875	0.6666666666666666	0.6122448979591837	0.6382978723404255	30	15	0	19
7	104.16.123.96	Europe_countries_15	1	20.0	0	0.45454545454545453	0.6382978723404256	0.6122448979591837	0.625	30	17	0	19
3	104.16.123.96	Europe_countries_15	1	30.0	0	0.4696969696969697	0.6458333333333334	0.6326530612244898	0.6391752577319587	31	17	0	18
16	104.16.123.96	Europe_countries_5	1	-1.0	0	0.4067796610169492	0.75	0.47058823529411764	0.5783132530120481	24	8	0	27
12	104.16.123.96	Europe_countries_5	1	1.0	0	0.0784313725490196	1.0	0.0784313725490196	0.14545454545454545	4	0	0	47
17	104.16.123.96	Europe_countries_5	1	5.0	0	0.37037037037037035	0.8695652173913043	0.39215686274509803	0.5405405405405406	20	3	0	31
1	104.16.123.96	Europe_countries_5	1	10.0	0	0.42105263157894735	0.8	0.47058823529411764	0.5925925925925927	24	6	0	27
9	104.16.123.96	Europe_countries_5	1	20.0	0	0.41379310344827586	0.7741935483870968	0.47058823529411764	0.5853658536585367	24	7	0	27
10	104.16.123.96	Europe_countries_5	1	30.0	0	0.41379310344827586	0.7741935483870968	0.47058823529411764	0.5853658536585367	24	7	0	27
