	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
10	192.203.230.10	North-Central-section_1	0.0	-1	0	0.3473684210526316	0.4925373134328358	0.5409836065573771	0.5156250000000001	33	34	0	28
17	192.203.230.10	North-Central-section_1	0.1	-1	0	0.3541666666666667	0.4927536231884058	0.5573770491803278	0.5230769230769231	34	35	0	27
15	192.203.230.10	North-Central-section_1	0.2	-1	0	0.375	0.5070422535211268	0.5901639344262295	0.5454545454545454	36	35	0	25
4	192.203.230.10	North-Central-section_1	0.3	-1	0	0.375	0.5070422535211268	0.5901639344262295	0.5454545454545454	36	35	0	25
7	192.203.230.10	North-Central-section_1	0.4	-1	0	0.3894736842105263	0.5211267605633803	0.6065573770491803	0.5606060606060606	37	34	0	24
19	192.203.230.10	North-Central-section_1	0.5	-1	0	0.42105263157894735	0.547945205479452	0.6451612903225806	0.5925925925925926	40	33	0	22
20	192.203.230.10	North-Central-section_1	0.6	-1	0	0.41237113402061853	0.547945205479452	0.625	0.583941605839416	40	33	0	24
2	192.203.230.10	North-Central-section_1	0.7	-1	0	0.41237113402061853	0.547945205479452	0.625	0.583941605839416	40	33	0	24
32	192.203.230.10	North-Central-section_1	0.8	-1	0	0.40816326530612246	0.5405405405405406	0.625	0.5797101449275363	40	34	0	24
30	192.203.230.10	North-Central-section_1	0.9	-1	0	0.40816326530612246	0.5405405405405406	0.625	0.5797101449275363	40	34	0	24
14	192.203.230.10	North-Central-section_1	1.0	-1	0	0.40816326530612246	0.5333333333333333	0.6349206349206349	0.5797101449275363	40	35	0	23
31	192.203.230.10	North-Central-section_1.5	0.0	-1	0	0.27	0.421875	0.42857142857142855	0.42519685039370075	27	37	0	36
28	192.203.230.10	North-Central-section_1.5	0.1	-1	0	0.2916666666666667	0.45901639344262296	0.4444444444444444	0.4516129032258064	28	33	0	35
6	192.203.230.10	North-Central-section_1.5	0.2	-1	0	0.3404255319148936	0.5079365079365079	0.5079365079365079	0.5079365079365079	32	31	0	31
23	192.203.230.10	North-Central-section_1.5	0.3	-1	0	0.33695652173913043	0.5166666666666667	0.49206349206349204	0.5040650406504066	31	29	0	32
21	192.203.230.10	North-Central-section_1.5	0.4	-1	0	0.34065934065934067	0.5254237288135594	0.49206349206349204	0.5081967213114755	31	28	0	32
29	192.203.230.10	North-Central-section_1.5	0.5	-1	0	0.33695652173913043	0.5166666666666667	0.49206349206349204	0.5040650406504066	31	29	0	32
13	192.203.230.10	North-Central-section_1.5	0.6	-1	0	0.358695652173913	0.55	0.5076923076923077	0.528	33	27	0	32
5	192.203.230.10	North-Central-section_1.5	0.7	-1	0	0.358695652173913	0.55	0.5076923076923077	0.528	33	27	0	32
0	192.203.230.10	North-Central-section_1.5	0.8	-1	0	0.358695652173913	0.55	0.5076923076923077	0.528	33	27	0	32
24	192.203.230.10	North-Central-section_1.5	0.9	-1	0	0.3548387096774194	0.5409836065573771	0.5076923076923077	0.5238095238095238	33	28	0	32
22	192.203.230.10	North-Central-section_1.5	1.0	-1	0	0.3695652173913043	0.5573770491803278	0.5230769230769231	0.5396825396825397	34	27	0	31
16	192.203.230.10	North-Central-section_2	0.0	-1	0	0.3218390804597701	0.5490196078431373	0.4375	0.48695652173913045	28	23	0	36
8	192.203.230.10	North-Central-section_2	0.1	-1	0	0.3902439024390244	0.6274509803921569	0.5079365079365079	0.5614035087719298	32	19	0	31
12	192.203.230.10	North-Central-section_2	0.2	-1	0	0.3563218390804598	0.5740740740740741	0.484375	0.5254237288135594	31	23	0	33
18	192.203.230.10	North-Central-section_2	0.3	-1	0	0.37209302325581395	0.5925925925925926	0.5	0.5423728813559322	32	22	0	32
27	192.203.230.10	North-Central-section_2	0.4	-1	0	0.3764705882352941	0.6037735849056604	0.5	0.5470085470085471	32	21	0	32
1	192.203.230.10	North-Central-section_2	0.5	-1	0	0.3764705882352941	0.6037735849056604	0.5	0.5470085470085471	32	21	0	32
25	192.203.230.10	North-Central-section_2	0.6	-1	0	0.3563218390804598	0.5849056603773585	0.47692307692307695	0.5254237288135594	31	22	0	34
3	192.203.230.10	North-Central-section_2	0.7	-1	0	0.3522727272727273	0.5849056603773585	0.4696969696969697	0.5210084033613445	31	22	0	35
11	192.203.230.10	North-Central-section_2	0.8	-1	0	0.3522727272727273	0.5849056603773585	0.4696969696969697	0.5210084033613445	31	22	0	35
26	192.203.230.10	North-Central-section_2	0.9	-1	0	0.3522727272727273	0.5849056603773585	0.4696969696969697	0.5210084033613445	31	22	0	35
9	192.203.230.10	North-Central-section_2	1.0	-1	0	0.367816091954023	0.6037735849056604	0.48484848484848486	0.5378151260504203	32	21	0	34
