	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
10	192.5.5.241	North-Central-section_1	1	-1.0	0	0.4166666666666667	0.9090909090909091	0.43478260869565216	0.5882352941176471	30	3	0	39
3	192.5.5.241	North-Central-section_1	1	1.0	0	0.11428571428571428	0.8888888888888888	0.11594202898550725	0.20512820512820512	8	1	0	61
12	192.5.5.241	North-Central-section_1	1	5.0	0	0.4166666666666667	0.9090909090909091	0.43478260869565216	0.5882352941176471	30	3	0	39
9	192.5.5.241	North-Central-section_1	1	10.0	0	0.4166666666666667	0.9090909090909091	0.43478260869565216	0.5882352941176471	30	3	0	39
6	192.5.5.241	North-Central-section_1	1	20.0	0	0.4166666666666667	0.9090909090909091	0.43478260869565216	0.5882352941176471	30	3	0	39
1	192.5.5.241	North-Central-section_1	1	30.0	0	0.4166666666666667	0.9090909090909091	0.43478260869565216	0.5882352941176471	30	3	0	39
19	192.5.5.241	North-Central-section_1.5	1	-1.0	0	0.3611111111111111	0.896551724137931	0.37681159420289856	0.5306122448979592	26	3	0	43
2	192.5.5.241	North-Central-section_1.5	1	0.5	0	0.028985507246376812	1.0	0.028985507246376812	0.05633802816901409	2	0	0	67
13	192.5.5.241	North-Central-section_1.5	1	1.0	0	0.1	0.875	0.10144927536231885	0.18181818181818182	7	1	0	62
16	192.5.5.241	North-Central-section_1.5	1	5.0	0	0.3333333333333333	0.8888888888888888	0.34782608695652173	0.5	24	3	0	45
8	192.5.5.241	North-Central-section_1.5	1	10.0	0	0.3472222222222222	0.8928571428571429	0.36231884057971014	0.5154639175257733	25	3	0	44
14	192.5.5.241	North-Central-section_1.5	1	20.0	0	0.3611111111111111	0.896551724137931	0.37681159420289856	0.5306122448979592	26	3	0	43
4	192.5.5.241	North-Central-section_1.5	1	30.0	0	0.3611111111111111	0.896551724137931	0.37681159420289856	0.5306122448979592	26	3	0	43
5	192.5.5.241	North-Central-section_2	1	-1.0	0	0.2916666666666667	0.84	0.3088235294117647	0.4516129032258064	21	4	0	47
11	192.5.5.241	North-Central-section_2	1	0.5	0	0.028985507246376812	1.0	0.028985507246376812	0.05633802816901409	2	0	0	67
0	192.5.5.241	North-Central-section_2	1	1.0	0	0.11428571428571428	0.8	0.11764705882352941	0.20512820512820512	8	2	0	60
17	192.5.5.241	North-Central-section_2	1	5.0	0	0.2916666666666667	0.84	0.3088235294117647	0.4516129032258064	21	4	0	47
7	192.5.5.241	North-Central-section_2	1	10.0	0	0.2916666666666667	0.84	0.3088235294117647	0.4516129032258064	21	4	0	47
18	192.5.5.241	North-Central-section_2	1	20.0	0	0.2916666666666667	0.84	0.3088235294117647	0.4516129032258064	21	4	0	47
15	192.5.5.241	North-Central-section_2	1	30.0	0	0.2916666666666667	0.84	0.3088235294117647	0.4516129032258064	21	4	0	47
