	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
19	193.0.14.129	North-Central_100	1	-1.0	0	0.2564102564102564	1.0	0.2564102564102564	0.4081632653061224	10	0	0	29
13	193.0.14.129	North-Central_100	1	1.0	0	0.05128205128205128	1.0	0.05128205128205128	0.09756097560975609	2	0	0	37
15	193.0.14.129	North-Central_100	1	5.0	0	0.23076923076923078	1.0	0.23076923076923078	0.375	9	0	0	30
17	193.0.14.129	North-Central_100	1	10.0	0	0.23076923076923078	1.0	0.23076923076923078	0.375	9	0	0	30
12	193.0.14.129	North-Central_100	1	20.0	0	0.2564102564102564	1.0	0.2564102564102564	0.4081632653061224	10	0	0	29
7	193.0.14.129	North-Central_100	1	30.0	0	0.2564102564102564	1.0	0.2564102564102564	0.4081632653061224	10	0	0	29
0	193.0.14.129	North-Central_1000	1	-1.0	0	0.5853658536585366	0.9230769230769231	0.6153846153846154	0.7384615384615384	24	2	0	15
23	193.0.14.129	North-Central_1000	1	0.5	0	0.10256410256410256	1.0	0.10256410256410256	0.18604651162790695	4	0	0	35
14	193.0.14.129	North-Central_1000	1	1.0	0	0.358974358974359	1.0	0.358974358974359	0.5283018867924528	14	0	0	25
5	193.0.14.129	North-Central_1000	1	5.0	0	0.55	0.9565217391304348	0.5641025641025641	0.7096774193548387	22	1	0	17
18	193.0.14.129	North-Central_1000	1	10.0	0	0.5853658536585366	0.9230769230769231	0.6153846153846154	0.7384615384615384	24	2	0	15
1	193.0.14.129	North-Central_1000	1	20.0	0	0.5853658536585366	0.9230769230769231	0.6153846153846154	0.7384615384615384	24	2	0	15
4	193.0.14.129	North-Central_1000	1	30.0	0	0.5853658536585366	0.9230769230769231	0.6153846153846154	0.7384615384615384	24	2	0	15
21	193.0.14.129	North-Central_300	1	-1.0	0	0.4358974358974359	1.0	0.4358974358974359	0.6071428571428571	17	0	0	22
10	193.0.14.129	North-Central_300	1	1.0	0	0.10256410256410256	1.0	0.10256410256410256	0.18604651162790695	4	0	0	35
22	193.0.14.129	North-Central_300	1	5.0	0	0.3333333333333333	1.0	0.3333333333333333	0.5	13	0	0	26
20	193.0.14.129	North-Central_300	1	10.0	0	0.4358974358974359	1.0	0.4358974358974359	0.6071428571428571	17	0	0	22
2	193.0.14.129	North-Central_300	1	20.0	0	0.4358974358974359	1.0	0.4358974358974359	0.6071428571428571	17	0	0	22
24	193.0.14.129	North-Central_300	1	30.0	0	0.4358974358974359	1.0	0.4358974358974359	0.6071428571428571	17	0	0	22
9	193.0.14.129	North-Central_500	1	-1.0	0	0.55	0.9166666666666666	0.5789473684210527	0.7096774193548387	22	2	0	16
11	193.0.14.129	North-Central_500	1	1.0	0	0.15384615384615385	1.0	0.15384615384615385	0.2666666666666667	6	0	0	33
3	193.0.14.129	North-Central_500	1	5.0	0	0.5263157894736842	1.0	0.5263157894736842	0.6896551724137931	20	0	0	18
16	193.0.14.129	North-Central_500	1	10.0	0	0.55	0.9166666666666666	0.5789473684210527	0.7096774193548387	22	2	0	16
6	193.0.14.129	North-Central_500	1	20.0	0	0.55	0.9166666666666666	0.5789473684210527	0.7096774193548387	22	2	0	16
8	193.0.14.129	North-Central_500	1	30.0	0	0.55	0.9166666666666666	0.5789473684210527	0.7096774193548387	22	2	0	16
