	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
35	198.97.190.53	North-Central_100	0.0	-1	0	0.18181818181818182	0.18181818181818182	1.0	0.3076923076923077	2	9	0	0
31	198.97.190.53	North-Central_100	0.1	-1	0	0.2857142857142857	0.2857142857142857	1.0	0.4444444444444445	2	5	0	0
23	198.97.190.53	North-Central_100	0.2	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
15	198.97.190.53	North-Central_100	0.3	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
16	198.97.190.53	North-Central_100	0.4	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
34	198.97.190.53	North-Central_100	0.5	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
5	198.97.190.53	North-Central_100	0.6	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
10	198.97.190.53	North-Central_100	0.7	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
2	198.97.190.53	North-Central_100	0.8	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
30	198.97.190.53	North-Central_100	0.9	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
4	198.97.190.53	North-Central_100	1.0	-1	0	0.25	0.25	1.0	0.4	2	6	0	0
1	198.97.190.53	North-Central_1000	0.0	-1	0	0.10526315789473684	0.10526315789473684	1.0	0.1904761904761905	2	17	0	0
32	198.97.190.53	North-Central_1000	0.1	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
6	198.97.190.53	North-Central_1000	0.2	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	2	12	0	0
21	198.97.190.53	North-Central_1000	0.3	-1	0	0.125	0.125	1.0	0.2222222222222222	2	14	0	0
37	198.97.190.53	North-Central_1000	0.4	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
7	198.97.190.53	North-Central_1000	0.5	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
41	198.97.190.53	North-Central_1000	0.6	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
13	198.97.190.53	North-Central_1000	0.7	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
26	198.97.190.53	North-Central_1000	0.8	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
28	198.97.190.53	North-Central_1000	0.9	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
11	198.97.190.53	North-Central_1000	1.0	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	2	15	0	0
33	198.97.190.53	North-Central_300	0.0	-1	0	0.125	0.125	1.0	0.2222222222222222	2	14	0	0
36	198.97.190.53	North-Central_300	0.1	-1	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	2	10	0	0
8	198.97.190.53	North-Central_300	0.2	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	2	12	0	0
0	198.97.190.53	North-Central_300	0.3	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
18	198.97.190.53	North-Central_300	0.4	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
29	198.97.190.53	North-Central_300	0.5	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
38	198.97.190.53	North-Central_300	0.6	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
40	198.97.190.53	North-Central_300	0.7	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
42	198.97.190.53	North-Central_300	0.8	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
9	198.97.190.53	North-Central_300	0.9	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
20	198.97.190.53	North-Central_300	1.0	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
22	198.97.190.53	North-Central_500	0.0	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	2	11	0	0
43	198.97.190.53	North-Central_500	0.1	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	2	12	0	0
19	198.97.190.53	North-Central_500	0.2	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	2	12	0	0
14	198.97.190.53	North-Central_500	0.3	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
17	198.97.190.53	North-Central_500	0.4	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
12	198.97.190.53	North-Central_500	0.5	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
27	198.97.190.53	North-Central_500	0.6	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
39	198.97.190.53	North-Central_500	0.7	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
25	198.97.190.53	North-Central_500	0.8	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
3	198.97.190.53	North-Central_500	0.9	-1	0	0.125	0.125	1.0	0.2222222222222222	2	14	0	0
24	198.97.190.53	North-Central_500	1.0	-1	0	0.13333333333333333	0.13333333333333333	1.0	0.23529411764705882	2	13	0	0
