	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
5	104.16.123.96	Europe_countries_10	0.0	-1	0	0.19047619047619047	0.5	0.23529411764705882	0.31999999999999995
2	104.16.123.96	Europe_countries_10	0.1	-1	0	0.25	0.625	0.29411764705882354	0.4
25	104.16.123.96	Europe_countries_10	0.2	-1	0	0.25	0.625	0.29411764705882354	0.4
22	104.16.123.96	Europe_countries_10	0.3	-1	0	0.29310344827586204	0.7083333333333334	0.3333333333333333	0.4533333333333333
11	104.16.123.96	Europe_countries_10	0.4	-1	0	0.32142857142857145	0.782608695652174	0.35294117647058826	0.48648648648648657
8	104.16.123.96	Europe_countries_10	0.5	-1	0	0.32142857142857145	0.782608695652174	0.35294117647058826	0.48648648648648657
26	104.16.123.96	Europe_countries_10	0.6	-1	0	0.4230769230769231	0.9565217391304348	0.43137254901960786	0.5945945945945946
14	104.16.123.96	Europe_countries_10	0.7	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
30	104.16.123.96	Europe_countries_10	0.8	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
17	104.16.123.96	Europe_countries_10	0.9	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
13	104.16.123.96	Europe_countries_10	1.0	-1	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
16	104.16.123.96	Europe_countries_15	0.0	-1	0	0.27419354838709675	0.6071428571428571	0.3333333333333333	0.430379746835443
31	104.16.123.96	Europe_countries_15	0.1	-1	0	0.29508196721311475	0.6428571428571429	0.35294117647058826	0.4556962025316456
23	104.16.123.96	Europe_countries_15	0.2	-1	0	0.3620689655172414	0.75	0.4117647058823529	0.5316455696202532
1	104.16.123.96	Europe_countries_15	0.3	-1	0	0.3620689655172414	0.75	0.4117647058823529	0.5316455696202532
18	104.16.123.96	Europe_countries_15	0.4	-1	0	0.41818181818181815	0.8518518518518519	0.45098039215686275	0.5897435897435898
27	104.16.123.96	Europe_countries_15	0.5	-1	0	0.4444444444444444	0.8888888888888888	0.47058823529411764	0.6153846153846153
20	104.16.123.96	Europe_countries_15	0.6	-1	0	0.4716981132075472	0.9259259259259259	0.49019607843137253	0.6410256410256411
12	104.16.123.96	Europe_countries_15	0.7	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
9	104.16.123.96	Europe_countries_15	0.8	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
0	104.16.123.96	Europe_countries_15	0.9	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
32	104.16.123.96	Europe_countries_15	1.0	-1	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
29	104.16.123.96	Europe_countries_5	0.0	-1	0	0.13333333333333333	0.47058823529411764	0.1568627450980392	0.23529411764705882
7	104.16.123.96	Europe_countries_5	0.1	-1	0	0.1724137931034483	0.5882352941176471	0.19607843137254902	0.29411764705882354
28	104.16.123.96	Europe_countries_5	0.2	-1	0	0.19298245614035087	0.6470588235294118	0.21568627450980393	0.3235294117647059
19	104.16.123.96	Europe_countries_5	0.3	-1	0	0.19642857142857142	0.6875	0.21568627450980393	0.3283582089552239
3	104.16.123.96	Europe_countries_5	0.4	-1	0	0.23636363636363636	0.7647058823529411	0.2549019607843137	0.38235294117647056
10	104.16.123.96	Europe_countries_5	0.5	-1	0	0.25925925925925924	0.8235294117647058	0.27450980392156865	0.4117647058823529
15	104.16.123.96	Europe_countries_5	0.6	-1	0	0.2830188679245283	0.8823529411764706	0.29411764705882354	0.4411764705882352
4	104.16.123.96	Europe_countries_5	0.7	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576
6	104.16.123.96	Europe_countries_5	0.8	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576
24	104.16.123.96	Europe_countries_5	0.9	-1	0	0.3269230769230769	0.9444444444444444	0.3333333333333333	0.49275362318840576
21	104.16.123.96	Europe_countries_5	1.0	-1	0	0.3333333333333333	1.0	0.3333333333333333	0.5
