	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
19	104.16.123.96	Europe_countries_10	1	-1.0	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
8	104.16.123.96	Europe_countries_10	1	0.5	0	0.0392156862745098	1.0	0.0392156862745098	0.07547169811320754
10	104.16.123.96	Europe_countries_10	1	1.0	0	0.17647058823529413	1.0	0.17647058823529413	0.3
13	104.16.123.96	Europe_countries_10	1	5.0	0	0.43137254901960786	1.0	0.43137254901960786	0.6027397260273972
11	104.16.123.96	Europe_countries_10	1	10.0	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
18	104.16.123.96	Europe_countries_10	1	20.0	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
0	104.16.123.96	Europe_countries_10	1	30.0	0	0.45098039215686275	1.0	0.45098039215686275	0.6216216216216216
5	104.16.123.96	Europe_countries_15	1	-1.0	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
9	104.16.123.96	Europe_countries_15	1	0.5	0	0.09803921568627451	1.0	0.09803921568627451	0.17857142857142855
3	104.16.123.96	Europe_countries_15	1	1.0	0	0.19230769230769232	0.9090909090909091	0.19607843137254902	0.3225806451612903
16	104.16.123.96	Europe_countries_15	1	5.0	0	0.5	0.9629629629629629	0.5098039215686274	0.6666666666666666
17	104.16.123.96	Europe_countries_15	1	10.0	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
2	104.16.123.96	Europe_countries_15	1	20.0	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
7	104.16.123.96	Europe_countries_15	1	30.0	0	0.5192307692307693	0.9642857142857143	0.5294117647058824	0.6835443037974683
14	104.16.123.96	Europe_countries_5	1	-1.0	0	0.3333333333333333	1.0	0.3333333333333333	0.5
12	104.16.123.96	Europe_countries_5	1	1.0	0	0.0784313725490196	1.0	0.0784313725490196	0.14545454545454545
15	104.16.123.96	Europe_countries_5	1	5.0	0	0.29411764705882354	1.0	0.29411764705882354	0.45454545454545453
1	104.16.123.96	Europe_countries_5	1	10.0	0	0.3333333333333333	1.0	0.3333333333333333	0.5
6	104.16.123.96	Europe_countries_5	1	20.0	0	0.3333333333333333	1.0	0.3333333333333333	0.5
4	104.16.123.96	Europe_countries_5	1	30.0	0	0.3333333333333333	1.0	0.3333333333333333	0.5
