	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
37	192.33.4.12	North-Central_100	0.0	-1	0	0.16666666666666666	0.3333333333333333	0.25	0.28571428571428575	1	2	0	3
31	192.33.4.12	North-Central_100	0.1	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
2	192.33.4.12	North-Central_100	0.2	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
3	192.33.4.12	North-Central_100	0.3	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
42	192.33.4.12	North-Central_100	0.4	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
11	192.33.4.12	North-Central_100	0.5	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
10	192.33.4.12	North-Central_100	0.6	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
40	192.33.4.12	North-Central_100	0.7	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
8	192.33.4.12	North-Central_100	0.8	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
12	192.33.4.12	North-Central_100	0.9	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
18	192.33.4.12	North-Central_100	1.0	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
6	192.33.4.12	North-Central_1000	0.0	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
15	192.33.4.12	North-Central_1000	0.1	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
30	192.33.4.12	North-Central_1000	0.2	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
26	192.33.4.12	North-Central_1000	0.3	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
23	192.33.4.12	North-Central_1000	0.4	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
20	192.33.4.12	North-Central_1000	0.5	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
41	192.33.4.12	North-Central_1000	0.6	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
29	192.33.4.12	North-Central_1000	0.7	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
21	192.33.4.12	North-Central_1000	0.8	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
32	192.33.4.12	North-Central_1000	0.9	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
35	192.33.4.12	North-Central_1000	1.0	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
0	192.33.4.12	North-Central_300	0.0	-1	0	0.3333333333333333	0.5	0.5	0.5	2	2	0	2
25	192.33.4.12	North-Central_300	0.1	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
24	192.33.4.12	North-Central_300	0.2	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
4	192.33.4.12	North-Central_300	0.3	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715	2	1	0	2
7	192.33.4.12	North-Central_300	0.4	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
22	192.33.4.12	North-Central_300	0.5	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
33	192.33.4.12	North-Central_300	0.6	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
19	192.33.4.12	North-Central_300	0.7	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
17	192.33.4.12	North-Central_300	0.8	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
39	192.33.4.12	North-Central_300	0.9	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
38	192.33.4.12	North-Central_300	1.0	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
36	192.33.4.12	North-Central_500	0.0	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
13	192.33.4.12	North-Central_500	0.1	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
1	192.33.4.12	North-Central_500	0.2	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
43	192.33.4.12	North-Central_500	0.3	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
5	192.33.4.12	North-Central_500	0.4	-1	0	0.6	0.75	0.75	0.75	3	1	0	1
28	192.33.4.12	North-Central_500	0.5	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
34	192.33.4.12	North-Central_500	0.6	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
16	192.33.4.12	North-Central_500	0.7	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
14	192.33.4.12	North-Central_500	0.8	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
9	192.33.4.12	North-Central_500	0.9	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
27	192.33.4.12	North-Central_500	1.0	-1	0	1.0	1.0	1.0	1.0	4	0	0	0
