	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
2	192.33.4.12	North-Central_100	1	-1.0	0	0.4	0.6666666666666666	0.5	0.5714285714285715
8	192.33.4.12	North-Central_100	1	10.0	0	0.4	0.6666666666666666	0.5	0.5714285714285715
19	192.33.4.12	North-Central_100	1	20.0	0	0.4	0.6666666666666666	0.5	0.5714285714285715
0	192.33.4.12	North-Central_100	1	30.0	0	0.4	0.6666666666666666	0.5	0.5714285714285715
9	192.33.4.12	North-Central_1000	1	-1.0	0	0.6	0.75	0.75	0.75
4	192.33.4.12	North-Central_1000	1	1.0	0	0.5	1.0	0.5	0.6666666666666666
3	192.33.4.12	North-Central_1000	1	5.0	0	0.6	0.75	0.75	0.75
13	192.33.4.12	North-Central_1000	1	10.0	0	0.6	0.75	0.75	0.75
10	192.33.4.12	North-Central_1000	1	20.0	0	0.6	0.75	0.75	0.75
14	192.33.4.12	North-Central_1000	1	30.0	0	0.6	0.75	0.75	0.75
7	192.33.4.12	North-Central_300	1	-1.0	0	0.6	0.75	0.75	0.75
1	192.33.4.12	North-Central_300	1	1.0	0	0.5	1.0	0.5	0.6666666666666666
21	192.33.4.12	North-Central_300	1	5.0	0	0.4	0.6666666666666666	0.5	0.5714285714285715
20	192.33.4.12	North-Central_300	1	10.0	0	0.6	0.75	0.75	0.75
12	192.33.4.12	North-Central_300	1	20.0	0	0.6	0.75	0.75	0.75
18	192.33.4.12	North-Central_300	1	30.0	0	0.6	0.75	0.75	0.75
6	192.33.4.12	North-Central_500	1	-1.0	0	1.0	1.0	1.0	1.0
17	192.33.4.12	North-Central_500	1	1.0	0	0.75	1.0	0.75	0.8571428571428571
11	192.33.4.12	North-Central_500	1	5.0	0	1.0	1.0	1.0	1.0
16	192.33.4.12	North-Central_500	1	10.0	0	1.0	1.0	1.0	1.0
5	192.33.4.12	North-Central_500	1	20.0	0	1.0	1.0	1.0	1.0
15	192.33.4.12	North-Central_500	1	30.0	0	1.0	1.0	1.0	1.0
