	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
15	192.5.5.241	North-Central_100	1	-1.0	0	0.23636363636363636	0.9285714285714286	0.24074074074074073	0.3823529411764706	13	1	0	41
3	192.5.5.241	North-Central_100	1	5.0	0	0.23636363636363636	0.9285714285714286	0.24074074074074073	0.3823529411764706	13	1	0	41
19	192.5.5.241	North-Central_100	1	10.0	0	0.23636363636363636	0.9285714285714286	0.24074074074074073	0.3823529411764706	13	1	0	41
20	192.5.5.241	North-Central_100	1	20.0	0	0.23636363636363636	0.9285714285714286	0.24074074074074073	0.3823529411764706	13	1	0	41
24	192.5.5.241	North-Central_100	1	30.0	0	0.23636363636363636	0.9285714285714286	0.24074074074074073	0.3823529411764706	13	1	0	41
17	192.5.5.241	North-Central_1000	1	-1.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
12	192.5.5.241	North-Central_1000	1	0.5	0	0.018518518518518517	1.0	0.018518518518518517	0.03636363636363636	1	0	0	53
6	192.5.5.241	North-Central_1000	1	1.0	0	0.3090909090909091	0.9444444444444444	0.3148148148148148	0.4722222222222222	17	1	0	37
11	192.5.5.241	North-Central_1000	1	5.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
13	192.5.5.241	North-Central_1000	1	10.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
4	192.5.5.241	North-Central_1000	1	20.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
2	192.5.5.241	North-Central_1000	1	30.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
1	192.5.5.241	North-Central_300	1	-1.0	0	0.375	0.9130434782608695	0.3888888888888889	0.5454545454545454	21	2	0	33
23	192.5.5.241	North-Central_300	1	1.0	0	0.18181818181818182	0.9090909090909091	0.18518518518518517	0.30769230769230765	10	1	0	44
16	192.5.5.241	North-Central_300	1	5.0	0	0.375	0.9130434782608695	0.3888888888888889	0.5454545454545454	21	2	0	33
22	192.5.5.241	North-Central_300	1	10.0	0	0.375	0.9130434782608695	0.3888888888888889	0.5454545454545454	21	2	0	33
18	192.5.5.241	North-Central_300	1	20.0	0	0.375	0.9130434782608695	0.3888888888888889	0.5454545454545454	21	2	0	33
14	192.5.5.241	North-Central_300	1	30.0	0	0.375	0.9130434782608695	0.3888888888888889	0.5454545454545454	21	2	0	33
0	192.5.5.241	North-Central_500	1	-1.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
21	192.5.5.241	North-Central_500	1	0.5	0	0.037037037037037035	1.0	0.037037037037037035	0.07142857142857142	2	0	0	52
5	192.5.5.241	North-Central_500	1	1.0	0	0.25925925925925924	1.0	0.25925925925925924	0.4117647058823529	14	0	0	40
7	192.5.5.241	North-Central_500	1	5.0	0	0.5178571428571429	0.9354838709677419	0.5370370370370371	0.6823529411764706	29	2	0	25
8	192.5.5.241	North-Central_500	1	10.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
9	192.5.5.241	North-Central_500	1	20.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
10	192.5.5.241	North-Central_500	1	30.0	0	0.5357142857142857	0.9375	0.5555555555555556	0.6976744186046512	30	2	0	24
