	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
10	202.12.27.33	North-Central_1000	0.0	-1	0	0.5	0.5	1.0	0.6666666666666666
2	202.12.27.33	North-Central_1000	0.1	-1	0	0.5	0.5	1.0	0.6666666666666666
8	202.12.27.33	North-Central_1000	0.2	-1	0	0.5	0.5	1.0	0.6666666666666666
0	202.12.27.33	North-Central_1000	0.3	-1	0	0.5	0.5	1.0	0.6666666666666666
4	202.12.27.33	North-Central_1000	0.4	-1	0	0.5	0.5	1.0	0.6666666666666666
1	202.12.27.33	North-Central_1000	0.5	-1	0	0.5	0.5	1.0	0.6666666666666666
7	202.12.27.33	North-Central_1000	0.6	-1	0	0.5	0.5	1.0	0.6666666666666666
6	202.12.27.33	North-Central_1000	0.7	-1	0	0.5	0.5	1.0	0.6666666666666666
9	202.12.27.33	North-Central_1000	0.8	-1	0	0.5	0.5	1.0	0.6666666666666666
5	202.12.27.33	North-Central_1000	0.9	-1	0	0.5	0.5	1.0	0.6666666666666666
3	202.12.27.33	North-Central_1000	1.0	-1	0	0.5	0.5	1.0	0.6666666666666666
