,country_code,city,latitude,longitude,type
309,AL,Tirana,41.4147,19.7206,FN
17,AT,Vienna,48.1102981567,16.5697002411,TP
22,BE,Brussels,50.4592018127,4.4538202286,TP
0,BG,Sofia,42.6966934204,23.4114360809,TP
190,BY,Minsk,53.9006,27.599,FN
103,CH,Geneva,46.238098,6.10895,FN
332,CH,Zurich,47.464699,8.54917,FN
8,CZ,Prague,50.1007995605,14.2600002289,TP
26,DE,Berlin,52.3800010681,13.5225000381,TP
1,DE,Düsseldorf,51.2895011902,6.7667798996,TP
11,DE,Frankfurt-am-Main,50.121212,8.6365638,TP
111,DE,Hamburg,53.630402,9.98823,FN
16,DE,Munich,48.3538017273,11.7861003876,TP
18,DE,Saarbrücken,49.2145996094,7.1095099449,TP
27,DE,Stuttgart,48.6898994446,9.2219600677,TP
29,DK,Copenhagen,55.6179008484,12.6560001373,TP
2,EE,Tallinn,59.4132995605,24.8327999115,TP
32,ES,Barcelona,41.2971000671,2.0784599781,TP
19,ES,Madrid,40.3707008362,-3.7851400375,TP
5,FI,Helsinki,60.1733244,24.9410248,TP
35,FR,Marseille,43.439271922,5.2214241028,TP
14,FR,Paris,49.0127983093,2.5499999523,TP
94,GB,Edinburgh,55.950001,-3.3725,FN
9,GB,Liverpool,53.3335990906,-2.8497200012,TP
15,GB,London,51.3307991028,0.0324999988,TP
25,GR,Athens,37.9364013672,23.9444999695,TP
306,GR,Thessaloniki,40.519699,22.9709,FN
331,HR,Zagreb,45.742901,16.0688,FN
46,HU,Budapest,47.436901,19.2556,FN
73,IE,Cork,51.841301,-8.49111,FN
28,IE,Dublin,53.4212989807,-6.270070076,TP
37,IS,Reykjavík,63.9850006104,-22.6056003571,TP
13,IT,Milan,45.445098877,9.2767400742,TP
226,IT,Palermo,38.16114,13.31546,FN
38,IT,Rome,41.7994003296,12.5949001312,TP
314,IT,Turin,45.191456,7.643049,FN
145,LT,Kaunas,54.9,23.916668,FN
10,LT,Vilnius,54.6341018677,25.2858009338,TP
30,LV,Riga,56.9235992432,23.9710998535,TP
65,MD,Chisinau,46.9277,28.931,FN
21,NL,Amsterdam,52.3086013794,4.7638897896,TP
3,NO,Oslo,60.193901062,11.100399971,TP
7,PL,Warsaw,52.1656990051,20.9671001434,TP
33,PT,Lisbon,38.7812995911,-9.1359195709,TP
4,RO,Bucharest,44.503200531,26.1021003723,TP
31,RS,Belgrade,44.818401,20.309099,FN
146,RU,Khabarovsk,48.528,135.188004,FN
150,RU,Krasnoyarsk,56.0153,92.8932,FN
20,RU,Moscow,55.8782997131,38.0616989136,TP
6,RU,St Petersburg,59.8003005981,30.2625007629,TP
315,RU,Tver,56.8587,35.9176,FN
327,RU,Yekaterinburg,56.8431,60.6454,FN
106,SE,Gothenburg,57.6628,12.2798,FN
23,SE,Stockholm,59.6519012451,17.9186000824,TP
40,SK,Bratislava,48.1486,17.1077,FN
