,target,probes_file,probe_selection,probe_set_number,threshold,alpha,Accuracy,Precision,Recall,F1,distance_function,gt_instances_in_region,filename
0,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.0,0.2554744525547445,0.2941176470588235,0.660377358490566,0.4069767441860465,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.0_-1.0_0_cloudfare_servers_europe.json
1,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.1,0.2681159420289855,0.3032786885245901,0.6981132075471698,0.4228571428571429,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.1_-1.0_0_cloudfare_servers_europe.json
2,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.2,0.2740740740740741,0.3109243697478991,0.6981132075471698,0.4302325581395349,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.2_-1.0_0_cloudfare_servers_europe.json
3,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.3,0.2932330827067669,0.3277310924369748,0.7358490566037735,0.4534883720930232,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.3_-1.0_0_cloudfare_servers_europe.json
4,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.4,0.3007518796992481,0.3333333333333333,0.7547169811320755,0.4624277456647399,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.4_-1.0_0_cloudfare_servers_europe.json
5,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.5,0.3059701492537313,0.3388429752066115,0.7592592592592593,0.4685714285714286,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.5_-1.0_0_cloudfare_servers_europe.json
6,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.6,0.3037037037037037,0.3388429752066115,0.7454545454545455,0.4659090909090908,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.6_-1.0_0_cloudfare_servers_europe.json
7,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.7,0.3037037037037037,0.3388429752066115,0.7454545454545455,0.4659090909090908,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.7_-1.0_0_cloudfare_servers_europe.json
8,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.8,0.2985074626865671,0.3361344537815126,0.7272727272727273,0.4597701149425288,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.8_-1.0_0_cloudfare_servers_europe.json
9,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,0.9,0.2985074626865671,0.3361344537815126,0.7272727272727273,0.4597701149425288,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.9_-1.0_0_cloudfare_servers_europe.json
10,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,-1.0,1.0,0.3007518796992481,0.3389830508474576,0.7272727272727273,0.4624277456647399,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_1.0_-1.0_0_cloudfare_servers_europe.json
11,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.0,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.0_0.5_0_cloudfare_servers_europe.json
12,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.1,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.1_0.5_0_cloudfare_servers_europe.json
13,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.2,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.2_0.5_0_cloudfare_servers_europe.json
14,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.3,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.3_0.5_0_cloudfare_servers_europe.json
15,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.4,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.4_0.5_0_cloudfare_servers_europe.json
16,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.5,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.5_0.5_0_cloudfare_servers_europe.json
17,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.6,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.6_0.5_0_cloudfare_servers_europe.json
18,104.16.123.96,North-Central-section_1.5.json,mesh,1.5,0.5,0.7,0.0,0.0,0.0,0.0,verloc_aprox,55,104.16.123.96_North-Central-section_1.5_52673295_0.7_0.5_0_cloudfare_servers_europe.json
