#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
6133	48.9385	2.3585	0.0	NoCity	48.9385	2.3585
6065	47.6095	-122.3395	19.1314923855	BFI	47.5299987793	-122.302001953
6066	33.7705	-84.4195	20.0190358467	FTY	33.6366996765	-84.4281005859
6062	25.7885	-80.2295	23.7664415717	MIA	25.7931995392	-80.2906036377
6061	32.7975	-96.8195	25.4429125539	DAL	32.8470993042	-96.8517990112
6060	50.1075	8.6605	31.3598689618	DEX	50.121212	8.6365638
13520	37.7675	-122.3915	36.2906659684	PIX	37.6189994812	-122.375
13531	35.6875	139.7485	38.3616007112	TOK	35.673343	139.710388
15634	51.5095	-0.0015	39.9394557533	LNX	51.5052986145	0.0552779995
19481	41.8475	-87.6185	40.1366876336	CHI	41.7859992981	-87.7524032593
13514	41.0795	-81.5225	40.2353035737	AKC	41.0374984741	-81.4669036865
19096	34.0505	-118.2585	43.3910136579	LAX	33.94250107	-118.4079971
12163	1.2985	103.7905	43.8840933586	SIN	1.3501900434	103.994003296
13565	37.9595	-121.2895	49.7024338263	MOD	37.62580109	-120.9540024
6031	52.3675	4.8985	50.195513527	AMS	52.3086013794	4.7638897896
15368	52.2315	21.0105	52.5622960901	WAW	52.1656990051	20.9671001434
12506	39.0205	-77.4625	57.5917090368	ADW	38.810798645	-76.8669967651
15936	48.2405	16.3585	65.0865204868	WIE	48.1102981567	16.5697002411
20277	51.0005	9.0005	68.4394624513	KSF	51.4083328247	9.3774995804
16207	38.0005	-97.0025	72.1868681763	IAB	37.62189865	-97.26820374
17609	59.3815	17.9175	75.9342739013	STO	59.6519012451	17.9186000824
20279	-33.9085	151.1905	87.0778751362	SYD	-33.9460983276	151.177001953
10366	40.7705	-74.0195	90.5294330408	JFK	40.63980103	-73.77890015
16530	49.9675	6.4985	110.745700768	CGN	50.8658981323	7.1427397728
13096	40.5105	-3.6685	112.12632393	TOJ	40.4967002869	-3.4458699226
18802	38.8985	-3.0525	149.501765239	ABC	38.9485015869	-1.8635200262
20731	46.9675	8.3485	172.08481553	MXP	45.6305999756	8.7281103134
17557	22.2605	114.1895	172.28204741	HKX	22.308889	113.914722
17165	46.0495	0.5205	288.747472705	NTE	47.1531982422	-1.610730052
1114	21.2795	-157.8425	736.759688723	HNL	21.3187007904	-157.92199707
1031	-27.0025	132.9985	809.14378878	ASP	-23.8066997528	133.901992798
15957	2.5005	112.4995	821.569397236	KCH	1.4846999645	110.347000122
12292	49.9985	48.0015	1333.68197434	CKL	55.8782997131	38.0616989136
