#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1004258	52.3815	4.8995	83.83656641593947	AMX	52.3086013794	4.7638897896
33422	60.1785	24.8085	86.80599098924145	HEL	60.317199707	24.963300705
1001345	59.9395	10.7095	161.58004835490922	NIX	60.193901062	11.100399971
16211	42.6775	23.3075	167.55114491393618	SOF	42.6966934204	23.4114360809
62426	55.6705	12.5685	167.80843390173945	RKE	55.5856018066	12.1314001083
1005282	48.9285	2.2215	175.75766760386577	PAR	49.0127983093	2.5499999523
13593	46.3085	16.3415	176.44600686598423	ZAG	45.7429008484	16.0687999725
53256	56.6505	23.7195	194.06384318643092	RIX	56.9235992432	23.9710998535
19396	55.9205	37.7515	273.77915084833154	DME	55.4087982178	37.9062995911
62784	59.3495	18.1515	277.0911671976507	ARN	59.6519012451	17.9186000824
1005076	40.2905	-3.7995	301.24970574732436	TOJ	40.4967002869	-3.4458699226
60555	41.3895	2.1695	341.57563736998947	BCN	41.2971000671	2.0784599781
