#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1003894	-33.8705	151.2015	33.72576398153881	BWU	-33.9244003296	150.9880065918
1004698	37.5515	-121.9885	39.7671737058796	SJC	37.3625984192	-121.9290008545
1002633	39.0385	-77.4915	39.85721005921974	IAD	38.94449997	-77.45580292
1004208	39.2615	-94.7025	43.55718151701644	MCI	39.2975997925	-94.7138977051
32626	41.3905	2.1085	53.05192423288487	BCN	41.2971000671	2.0784599781
12174	53.4795	-2.2495	55.14790742444144	LPL	53.3335990906	-2.8497200012
50644	47.5195	19.0595	74.61528570205591	BIX	47.4812134	19.1303031
1004034	50.1195	8.6785	77.04547831471842	DEX	50.121212	8.6365638
50025	53.5495	10.0485	82.58256612122632	HAM	53.6304016113	9.9882297516
1001120	53.3475	-6.2615	87.38575410127498	DUB	53.4212989807	-6.270070076
50387	50.0705	14.4615	89.82679446735197	PRG	50.1007995605	14.2600002289
62626	-8.6595	115.1685	95.84029588063552	DPS	-8.748169899	115.1669998169
52594	-6.4405	106.9015	96.38879773964736	CGK	-6.1255698204	106.65599823
1004792	-23.5315	-46.6385	98.38764423017435	CGH	-23.6261100769	-46.6563873291
1000745	59.8295	30.9295	103.09379412513353	LED	59.8003005981	30.2625007629
1000297	34.0505	-118.2385	103.42662292307764	LAX	33.94250107	-118.4079971
1003896	43.6505	-79.3585	116.02194941262304	YKZ	43.8622016907	-79.3700027466
1005028	51.5415	-0.6715	119.76432572467633	BQH	51.3307991028	0.0324999988
1005229	52.3515	4.9585	139.8641280263546	AMX	52.3086013794	4.7638897896
28272	52.5285	13.3805	142.02549358621843	SXF	52.3800010681	13.5225000381
54262	56.9485	24.1105	157.29242450986843	RIX	56.9235992432	23.9710998535
1002921	45.3275	9.2085	158.84897850890528	LIN	45.445098877	9.2767400742
11623	40.1785	44.5185	161.39031128609605	EVN	40.1473007202	44.3959007263
13593	46.3085	16.3415	179.86699382914867	ZAG	45.7429008484	16.0687999725
1004007	54.9005	23.8875	179.95594540714734	VNO	54.6341018677	25.2858009338
1000481	22.3175	114.1715	207.68290175048224	HKX	22.308889	113.914722
1004422	48.8285	2.4085	213.75005023519736	PAR	49.0127983093	2.5499999523
1002639	1.3515	103.8185	221.01271976212766	QPG	1.3604199886	103.9100036621
63037	19.1405	73.0085	224.9845753668671	BOM	19.0886993408	72.8678970337
4502	50.4585	30.6275	239.63209957055062	GML	50.6035003662	30.1919002533
1000801	42.6975	23.3175	256.42195645765264	SOF	42.6966934204	23.4114360809
55147	45.5505	-122.8705	258.0738720707967	BFI	47.5299987793	-122.3020019531
18857	42.3605	-71.0605	315.4915239733065	JFK	40.63980103	-73.77890015
50285	41.9195	12.3615	319.01023933314144	CIA	41.7994003296	12.5949001312
62264	-20.8805	55.4505	323.03100844418617	MRU	-20.4302005768	57.6836013794
55642	60.7885	11.0595	339.78122172335526	NIX	60.193901062	11.100399971
62779	61.4515	23.9005	362.8665229965769	FICIX	60.1733244	24.9410248
14730	55.8475	37.5185	365.9092192133967	CKL	55.8782997131	38.0616989136
61223	33.6785	73.0485	367.4407247636401	LHE	31.5216007233	74.4036026001
30219	-37.7385	175.2575	468.6905980401934	AKL	-37.0080986023	174.792007446
62716	-34.9795	-71.2425	540.4024332328953	SCL	-33.3930015564	-70.7857971191
1004594	35.6095	140.1115	620.6286700806178	TOK	35.673343	139.710388
1001667	38.7505	-9.0995	866.7353992005072	ECV	40.3707008362	-3.7851400375
62583	30.2685	-97.7285	986.8692388528565	HOU	29.64539909	-95.27890015
62388	26.4415	50.1115	1028.997278165486	IKA	35.4160995483	51.1521987915
60131	36.8575	42.9885	338.190645224973	OSB	36.3058013916	43.1473999023
13771	-1.2925	36.8205	1268.9734487511557	ADD	8.9778900147	38.7993011475
25200	-33.9525	18.8475	2034.534613101191	HLA	-25.9384994507	27.9260997772
61617	10.6605	-71.6225	3161.366201456773	MEX	19.4363002777	-99.0720977783
