#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1002667	19.0805	72.8805	38.68496237887565	BOM	19.0886993408	72.8678970337
1004058	44.4115	26.0395	42.36530926458618	OTP	44.5722007751	26.1021995544
1003891	47.6075	-122.3385	45.69034291800263	SEA	47.4490013123	-122.3089981079
1005247	40.4205	-3.6905	51.30750686789736	TOJ	40.4967002869	-3.4458699226
1003944	50.1095	8.6795	53.13998826742236	FRA	50.0264015198	8.543129921
1004290	-6.2125	106.8415	55.144751714357234	CGK	-6.1255698204	106.65599823
32358	45.0815	7.6495	58.68062624777499	TRN	45.2008018494	7.6496300697
6890	49.2775	-123.1085	60.172389574145384	YDT	49.0741996765	-123.012001038
1003881	33.7475	-84.3885	62.433258617601965	PDK	33.8755989075	-84.3020019531
21048	-7.7785	110.3895	76.32370824889539	NoCity	-7.7785	110.3895
1000608	51.5115	-0.0025	85.42566367521972	LTN	51.8746986389	-0.3683330119
54002	37.4685	-121.9225	85.69725197434211	PIX	37.6189994812	-122.375
6697	34.0505	-118.2385	86.72394252705199	LAX	33.94250107	-118.4079971
13068	55.7515	37.6505	87.01190107223618	DME	55.4087982178	37.9062995911
1003979	45.4615	9.1805	88.31234947475131	MXP	45.6305999756	8.7281103134
24385	41.3895	2.1715	91.98559601277236	BCN	41.2971000671	2.0784599781
14087	55.7105	12.5715	92.66732800690197	RKE	55.5856018066	12.1314001083
1003983	48.8585	2.3515	94.94141158633619	PAR	49.0127983093	2.5499999523
1002178	52.3715	4.9005	96.50486870118223	AMX	52.3086013794	4.7638897896
1004065	1.2895	103.8505	96.92783246840656	TGA	1.3872599602	103.7089996338
1004763	59.2985	18.0805	97.60029456416383	ARN	59.6519012451	17.9186000824
14793	59.8385	30.3115	106.21114260863291	LED	59.8003005981	30.2625007629
1004792	-23.5315	-46.6385	107.3656394197533	GRU	-23.4355564117	-46.4730567932
16348	42.6515	23.3595	118.14781323403945	SOF	42.6966934204	23.4114360809
53197	50.4205	30.4915	120.44704387820723	KBP	50.3450012207	30.8946990967
1003380	34.6875	135.5015	126.96457136150327	KIX	34.4272994995	135.2440032959
7156	52.5005	13.3695	131.76805518937238	SXF	52.3800010681	13.5225000381
1003680	32.7775	-96.7985	135.2863760854467	DAL	32.8470993042	-96.8517990112
22152	48.7785	9.1795	136.2166202487079	STR	48.6898994446	9.2219600677
50554	50.8495	4.7295	138.77728175016443	BNX	50.4592018127	4.4538202286
52806	56.9805	24.1675	138.84305858223223	RIX	56.9235992432	23.9710998535
6574	40.7795	-74.0695	149.82098503767958	JFK	40.63980103	-73.77890015
1004560	40.1675	44.5205	150.15213736464142	EVN	40.1473007202	44.3959007263
19368	50.0215	15.2105	152.2602503168342	PRG	50.1007995605	14.2600002289
6615	39.0395	-77.4925	160.33048577750196	BWI	39.17539978	-76.66829681
60959	59.9415	10.7795	172.59367378068418	NIX	60.193901062	11.100399971
13593	46.3085	16.3415	182.29442519548752	ZAG	45.7429008484	16.0687999725
32589	38.6615	-9.0685	184.37236167	LIS	38.7812995911	-9.1359195709
63050	-22.2025	166.4595	186.88381381733092	NOU	-22.0146007538	166.2129974365
62653	43.6485	-79.3805	191.5929221904941	YKZ	43.8622016907	-79.3700027466
6429	40.9815	29.0985	202.72390058502566	IST	40.9768981934	28.8145999908
55363	-20.9515	55.5205	206.4976367660408	RUN	-20.8871002197	55.5102996826
1004682	22.2785	114.2215	222.2511387383	HKX	22.308889	113.914722
1002511	39.7375	-104.9925	223.2476528133296	DEN	39.8616981506	-104.672996521
7022	53.7385	10.0785	229.64467161778484	XFW	53.5352783203	9.8355560303
13387	64.1405	-21.8985	268.20636407149607	KEF	63.9850006104	-22.6056003571
51382	44.7385	19.7115	270.40490784078946	BEG	44.8184013367	20.3090991974
61128	31.7615	35.2085	278.19497541554335	BEY	33.8208999634	35.4883995056
55190	-33.4625	-70.5685	292.3058316730309	SCL	-33.3930015564	-70.7857971191
61197	-34.4095	150.8815	305.9598988958289	SYD	-33.9460983276	151.1770019531
20217	50.8805	20.6375	362.11556261247506	WMI	52.4510993958	20.6518001556
1000789	47.5715	19.0615	260.1304088863007	WIE	48.1102981567	16.5697002411
54020	28.6075	77.0885	419.4835120811585	DELHI	28.6070051	77.2140499
1004048	34.7715	113.7195	445.8827034065618	WUH	30.7838001251	114.2080001831
60749	24.9715	121.1895	450.1967563235579	TAI	25.0776996613	121.233001709
13258	25.0715	55.1395	466.8825733938211	DBI	25.2527999878	55.3643989563
30219	-37.7385	175.2575	467.1713208665263	WEL	-41.3272018433	174.804992676
61571	14.2975	121.0805	558.38593745935	MNL	14.508600235	121.019996643
16441	-27.0025	30.7995	578.2460044105684	HLA	-25.9384994507	27.9260997772
60500	27.9475	-82.4625	583.2611180459598	HAV	22.989200592	-82.4091033936
62152	-24.8715	152.3495	634.3284950996368	APNIC	-27.4702796	153.023036
60462	40.0685	-88.2495	691.5746538822578	ORD	41.97859955	-87.90480042
34818	-16.4985	-68.1225	1727.2008955433887	LIM	-12.021900177	-77.1143035889
