#hostname	circleLatitude	circleLongitude	radius	iataCode	iataLatitude	iataLongitude
1005006	39.9005	32.7775	92.46437640211117	ANK	39.949798584	32.6885986328
1004167	41.4005	2.1905	100.98617425264145	BCN	41.2971000671	2.0784599781
52786	48.9305	2.3615	132.01380611218025	PAR	49.0127983093	2.5499999523
51331	38.9475	-77.3615	217.3413469269691	PHL	39.8718986511	-75.2410964966
30511	55.7775	37.6275	229.2594777556309	CKL	55.8782997131	38.0616989136
60314	31.2295	121.4675	297.60219796967766	PVG	31.1434001923	121.8050003052
30219	-37.7385	175.2575	413.5597511733948	AKL	-37.0080986023	174.792007446
61886	47.6905	-122.1385	583.2609208140796	YDT	49.0741996765	-123.012001038
1001351	48.1475	16.2995	693.3359345730079	SXF	52.3800010681	13.5225000381
60090	36.8475	43.0015	701.81404556206	BGW	33.2625007629	44.2346000671
61248	-33.9685	151.0695	1006.3847417092552	BWU	-33.9244003296	150.9880065918
22218	-1.2885	36.7875	1223.0462303449572	ADD	8.9778900147	38.7993011475
62649	-18.8985	-48.3205	1330.7889771197736	CGH	-23.6261100769	-46.6563873291
60085	43.2695	76.9415	1556.9802171300905	LHE	31.5216007233	74.4036026001
27507	-12.1395	-77.0225	3221.271539065042	AEP	-34.5592	-58.4156
